Nr	Text_vorher	NOM	Text_danach	Dateiname	Sprachraum	Jahr	Textsorte	Textnummer	Erstglied	Lemma	Fremdwortbasis	Praefix	Numerus	Simplexbasis	als_praep_Kompl	Prep_Det_Nom	Adj	Genitiv	Det	Prep
1	 war hail vn_ leben ist. Wir sein mit andechtiger 	begerung	/ durch die erwirdigen vn_ geistlichen prüder Mang	NOBD-1500-KT-009.txt	NOBD	1500	KT	009.txt	NA	Begehrung	NEIN	be	SG	NEIN	JA	NA	andaechtig	NA	KEIN	mit
1942	 mirckde dat sy an de_ yrste_ noch an de_ andere_ 	biddunge	_ yrs lieue_ kyndes neit en hadde. doe hoiff sy an	WMD-1500-KT-014.txt	WMD	1500	KT	014.txt	NA	Bittung	NEIN	NA	PL	JA	NEIN	NA	andere	NA	b	NA
615	---------------------------------  17. Mit andrer 	Dolmetschung	 ist keine Ehre einzulegen.  18. Von den eignen Na	NOBD-1650-ST-099.txt	NOBD	1650	ST	099.txt	NA	Dolmetschung	NEIN	NA	SG	JA	JA	NA	andere	NA	KEIN	mit
2433	e Armut deß Geistes nach S. Augustini vnd anderer 	erklärung	  in hertzlicher Demut bestehet/ so zeigt sie sich	WMD-1650-KT-106.txt	WMD	1650	KT	106.txt	NA	Erklärung	NEIN	er	SG	NEIN	NEIN	NA	andere	NA	KEIN	nach
5093	durch dieselbige eine erneuerung auff hochgedachtes Stifft Strassburg introducirt habeNASALSTRICH/ wie durch das Woertlein ABFAL/ nit weniger vnbillichen geklagt wirt/ hat es vil eine andere	meinung/	sindtemal vermoeg dess Passauischen vertrags/ vnd dem darauss erfolgten/%-----------------------------------------------------------[012] vnnd in dem Anno 1555. gehaltenem Reichs Abscheide bestaettigtem Religions friden/ wegen der Freystellung/ allen vnd	WOBD-1590-ST-neu2.txt	WOBD	1590	ST	neu2.txt	NA	Meinung	NEIN	NA	SG	JA	NEIN	NA	andere	NA	u	NA
2569	a*  ist/ und daß Heyrath=Gut anderer Gestalt  und 	Meynung	 nicht gegeben wird/ als daß selbiges bey dem Mann	WMD-1680-ST-neu.txt	WMD	1680	ST	neu.txt	NA	Meinung	NEIN	NA	SG	JA	NEIN	NA	andere	NA	KEIN	NA
2571	eyrathung  deß Weibs keine andere *intention* un_ 	Meynung	 seyn/ als dieselbe ihre gantze Lebenszeit  zu beh	WMD-1680-ST-neu.txt	WMD	1680	ST	neu.txt	NA	Meinung	NEIN	NA	SG	JA	NEIN	NA	andere	NA	s	NA
1868	nder/ und du edeles Jtalien/ euch ja keine andere 	Rechnung	/ als daß das Frantzösische Würg=Schwerdt mit Will	OOBD-1710-ST-130.txt	OOBD	1710	ST	130.txt	NA	Rechnung	NEIN	NA	SG	JA	NEIN	NA	andere	NA	s	NA
902	mit rosen wasser vnd essig/ aber mit einer andern 	reinunge	 erfrischen spülen vnd waschen.  Zum vierden sein 	OMD-1530-ST-neu.txt	OMD	1530	ST	neu.txt	NA	Reinung	NEIN	NA	SG	JA	NEIN	NA	andere	NA	u	mit
431	zuvor vnd ehe dan_ mans bedürfftig/ neben anderer 	rüstung	  vnnd zeug/ zu jeder Büchsen sonderlich gehörig/ 	NOBD-1590-ST-neu.txt	NOBD	1590	ST	neu.txt	NA	Rüstung	NEIN	NA	SG	JA	JA	NA	andere	NA	KEIN	neben
2418	 auff was für einen Glauben vnnd Leben die andere 	Vergleichung	 gehe.  Gib vns O du Ewige weyßheit verstand zu di	WMD-1650-KT-106.txt	WMD	1650	KT	106.txt	NA	Vergleichung	NEIN	ver	SG	NEIN	NEIN	NA	andere	NA	b	NA
1725	andern *Victualien,* zum verkauffen/ oder anderer 	verrichtung	 halber naher Wienn zukommen willens/ von jhren Ob	OOBD-1650-ST-094.txt	OOBD	1650	ST	094.txt	NA	Verrichtung	NEIN	ver	SG	NEIN	NEIN	NA	andere	NA	KEIN	halber_POST
2452	.  Viel weniger können sie eine andere Kirch oder 	versamlung	 zeigen/ welche allerdings  von der Gnadenwahl/ vo	WMD-1650-KT-106.txt	WMD	1650	KT	106.txt	NA	Versammlung	NEIN	ver	SG	NEIN	NEIN	NA	andere	NA	u	NA
3460	l*irt wird/ hat viel eine andere Eigenschafft und 	Wirckung	/ denn dasjenige/  so mit dem *Aceto* ausgezogen w	WOBD-1710-ST-133.txt	WOBD	1710	ST	133.txt	NA	Wirkung	NEIN	NA	SG	JA	NEIN	NA	andere	NA	u	NA
1013	Leute jhrentwegen haben weichen/ vnd eine andere  	wohnung	 suchen müssen/ welches gleichfals auch <q>*Plin. 	OMD-1590-ST-067.txt	OMD	1590	ST	067.txt	NA	Wohnung	NEIN	NA	SG	JA	NEIN	NA	andere	NA	u	NA
1892	chste/%--------------------  ihn zu anderwärtiger 	Trauung	 zu vermögen/  massen es dann endlich obwohl mit M	OOBD-1710-ST-130.txt	OOBD	1710	ST	130.txt	NA	Trauung	NEIN	NA	SG	JA	JA	NA	anderwaertig	NA	KEIN	zu
1924	dovici P.* und wie solche durch eine anderwertige 	HauptTheilung	  deß Reichs geschlichtet worden.</h1>  DJe Schlie	OOBD-1710-ST-130.txt	OOBD	1710	ST	130.txt	NA	Hauptteilung	NEIN	NA	SG	NEIN	NEIN	NA	anderweitig	postnom	u	durch
2524	del vor der Welt Jtem/ nach der blossenNatur und angebornen	Neigung	 zu ein oder der andern Tugend etwas gutes und löb	WMD-1680-KT-122.txt	WMD	1680	KT	122.txt	NA	Neigung	NEIN	NA	SG	JA	NEIN	NA	angeboren	NA	b	nach
592	rdig geachtet wird/ nach und nach in angefangener 	Ordnung	/ beygerucket  werden Massen mein Absehen nicht g	NOBD-1650-ST-099.txt	NOBD	1650	ST	099.txt	NA	Ordnung	NEIN	NA	SG	JA	JA	NA	angefangen	NA	KEIN	in
2897	n/ *C,*  den krummen Regenbogen/ mit angehenckter 	Außlegung	: <z>Sihe Jch "richt mit euch meinen Bund auff/ vn	WOBD-1620-ST-078.txt	WOBD	1620	ST	078.txt	NA	Auslegung	NEIN	aus	SG	NEIN	JA	NA	angehaengt	NA	KEIN	mit
188	  Erstlich von argkwenigen teilen mit angehangner 	ercleru_g	 wie vnd wann die ein redlich anzeygung machen mog	NOBD-1500-ST-008.txt	NOBD	1500	ST	008.txt	NA	Erklärung	NEIN	er	SG	NEIN	JA	NA	angehangen	NA	s	mit
1175	en/ unsre Augen und unsre Gemüther mit angenehmer 	Erqvickung	 überziehe.  §.2. Wer unter annehmlichen Blumen wa	OMD-1680-ST-121.txt	OMD	1680	ST	121.txt	NA	Erquickung	NEIN	er	SG	NEIN	NEIN	NA	angenehm	NA	KEIN	mit
2649	t Turin in Piemont durch  eine hefftig anhaltende 	Belagerung	 bey nahe schon zur *extremi*tät gebracht hatten: 	WMD-1710-ST-142.txt	WMD	1710	ST	142.txt	NA	Belagerung	NEIN	be	SG	NEIN	NEIN	NA	anhaltend	NA	u	NA
580	ie Hertzbeherrschende Süssigkeit einer anmutigen  	Entzuckung	 zu entwerffen/ wie hiervon in nachgesetzten Betra	NOBD-1650-ST-099.txt	NOBD	1650	ST	099.txt	NA	Entzückung	NEIN	ent	SG	NEIN	NEIN	NA	anmutig	NA	u	NA
2994	se Verheissungen/ durch ansehnliche  Geschenk vnd 	Vertröstung	 grosser Ehr vnd Befürderung/ vnder welchen noch w	WOBD-1650-ST-095.txt	WOBD	1650	ST	095.txt	NA	Vertröstung	NEIN	ver	SG	NEIN	JA	NA	ansehnlich	postnom	KEIN	durch
353	 den Heidnischen/ Ketzerischen/  Antichristischen 	verfolgungen	 kan beygebracht werden dann was also verfolgt  w	WMD-1650-KT-106.txt	WMD	1650	KT	106.txt	NA	Verfolgung	NEIN	ver	PL	NEIN	NEIN	NA	antichristisch	NA	b	NA
1231	hlseliger Herr Geheimbder Rath diese Apostolische 	Ermunterung	 nicht nur in seinem Leben fleißigst ins Werck ger	OMD-1710-KT-137.txt	OMD	1710	KT	137.txt	NA	Ermunterung	NEIN	er	SG	NEIN	NEIN	NA	apostolisch	NA	s	NA
388	Womit beschönet er es? So muß es ein Apostolische 	Satzung	 vnd löbliche Stifftung der Vorfahren sein. Das is	NOBD-1590-KT-063.txt	NOBD	1590	KT	063.txt	NA	Satzung	NEIN	NA	SG	JA	NEIN	NA	apostolisch	NA	u	NA
2932	/ auff daß man etlicher massen die Aristotelische 	meinung	 herbey mög bringen. Dann sonst werden die Cometen	WOBD-1620-ST-078.txt	WOBD	1620	ST	078.txt	NA	Meinung	NEIN	NA	SG	JA	NEIN	NA	aristotelisch	NA	b	NA
3042	 vnd glauben könte/ was  ein rechte Astrologische 	Betrachtung	 seiner Geburtsstund vermöchte/ zu glücklicher  Be	WOBD-1650-ST-095.txt	WOBD	1650	ST	095.txt	NA	Betrachtung	NEIN	be	SG	NEIN	NEIN	NA	astrologisch	NA	u	NA
2973	rung an die Hand geben werden.  Die Astronomische 	Erklärung	 vnd derselben Vmbständ belangend:  So wird diese 	WOBD-1650-ST-095.txt	WOBD	1650	ST	095.txt	NA	Erklärung	NEIN	er	SG	NEIN	NEIN	NA	astronomisch	NA	b	NA
1504	hr man verzehrt. Zuom Dritten/ wider auffgerichte 	Landßordnung	/  die vorder viertel Weins/ so man doch allain/ w	OOBD-1590-ST-neu.txt	OOBD	1590	ST	neu.txt	Lands	Ordnung	NEIN	NA	SG	JA	JA	NA	aufgerichtet	NA	KEIN	wider
453	in die Schlangen eingeladen.  Die gebreuchlichste 	ladung	 aber/  zu brechung der Gemäuer/ ist zwey drittel 	NOBD-1590-ST-neu.txt	NOBD	1590	ST	neu.txt	NA	Ladung	NEIN	NA	SG	JA	NEIN	NA	aufgetragen	NA	b	NA
811	mern zum Behuff der Augspurgischen  	Confessions-Ubung	 drey Kirchen  auf der Evangelischen Unkosten auss	NOBD-1710-ST-135.txt	NOBD	1710	ST	135.txt	Konfessions	Übung	NEIN	NA	SG	JA	NEIN	NA	augsburgisch	NA	b	NA
2408	kein Theil mehr anders/ dann mit deß andern außdrücklichen freyen Bewilligung oder Verzieg/ vnd Nachlassung geschehener	Verpflichtung	/ zurück gehen/ noch keinerley  weiß ledig werden/	WMD-1620-ST-088.txt	WMD	1620	ST	088.txt	NA	Verpflichtung	NEIN	ver	SG	NEIN	NEIN	NA	ausdruecklich	NA	KEIN	NA
804	in ihre vor der Böhmischen Unruhe gehabte/ und jm Majestät=Brief ausgedruckte Religions=Freyheit und 	Ubung	 *ju-re  quasi postliminii restitui*ret wurde_. De	NOBD-1710-ST-135.txt	NOBD	1710	ST	135.txt	NA	Übung	NEIN	NA	SG	JA	NEIN	NA	ausgedrueckt	prenom	s	in
1537	 Hof/ du magst auch/ die Bambergisch Halßgerichts 	Ordnung	 kauffen/%----------------------------------------	OOBD-1590-ST-neu.txt	OOBD	1590	ST	neu.txt	Halsgerichts	Ordnung	NEIN	NA	SG	JA	NEIN	NA	bambergisch	NA	b	NA
1249	 daß Printz Louis von Baaden die Bayerische 	Haupt=Festung	%-------------------------------------------------	OMD-1710-ST-neu3.txt	OMD	1710	ST	neu3.txt	Haupt	Festung	NEIN	NA	SG	JA	NEIN	NA	bayerisch	NA	b	NA
1486	o dem Ambt kombst/ so liß mit fleiß die Bayrische 	Landßordnung	/ auch die Erklärung/ der Bayrischen Freyhait/ dar	OOBD-1590-ST-neu.txt	OOBD	1590	ST	neu.txt	Lands	Ordnung	NEIN	NA	SG	JA	NEIN	NA	bayerisch	NA	b	NA
568	ubewegen vereinbaret/ und allein die befindliche  	Unterscheidung	 der Jugend beyzumessen/  welche zu einer Sache me	NOBD-1650-ST-099.txt	NOBD	1650	ST	099.txt	NA	Unterscheidung	NEIN	unter	SG	NEIN	NEIN	NA	befindlich	NA	b	NA
1881	ynebenst  einige Töchter/ wie auch auß befleckter 	Beywohnung	  noch andere Geblüt=Folge. Diese Letzte wurde daz	OOBD-1710-ST-130.txt	OOBD	1710	ST	130.txt	NA	Beiwohnung	NEIN	bei	SG	NEIN	JA	NA	befleckt	NA	KEIN	aus
571	ten zu reden führen muß. Jenes ist durch beharrte 	Ubung	 zu wegen zubringen/ wie Demosthenes  seine schwer	NOBD-1650-ST-099.txt	NOBD	1650	ST	099.txt	NA	Übung	NEIN	NA	SG	JA	JA	NA	beharrt	NA	KEIN	durch
2998	eicher gestalt der Löw. Weil demnach in beyderley 	Betrachtung	 deß Löwens Bildnus sich erzeigt:  So ist hierauß 	WOBD-1650-ST-095.txt	WOBD	1650	ST	095.txt	NA	Betrachtung	NEIN	be	SG	NEIN	JA	NA	beiderlei	postnom	KEIN	in
1902	 ReichsTheilungen.  Beschaffenheit beygebrachter  	Theilung	 unter *Ludovico P.* und Anmerkung darüber.</h1>  	OOBD-1710-ST-130.txt	OOBD	1710	ST	130.txt	NA	Teilung	NEIN	NA	SG	JA	NEIN	NA	beigebracht	NA	KEIN	NA
408	: Also solle er ebner gestallt ein jede belagerte 	Vestung	  vor allem anlauff zuverwaren/  alle ding mit vor	NOBD-1590-ST-neu.txt	NOBD	1590	ST	neu.txt	NA	Festung	NEIN	NA	SG	JA	NEIN	NA	belagert	NA	s	NA
599	ibet.  Schlüßlichen weiß ich keine mehr beliebte  	Entschuldigung	 einzuwenden/ als mein wolgemeinte Beflissenheit/ 	NOBD-1650-ST-099.txt	NOBD	1650	ST	099.txt	NA	Entschuldigung	NEIN	ent	SG	NEIN	NEIN	NA	beliebt	NA	s	NA
598	eichen Sprachkünstige Fragen/  sollen die belobte 	übung	 verhoffte höchste Vollkommenheit unsere Teutsche 	NOBD-1650-ST-099.txt	NOBD	1650	ST	099.txt	NA	Übung	NEIN	NA	SG	JA	NEIN	NA	belobt	NA	b	NA
1387	it die gemäch berauchen/ Es sein auch zu bemelter 	berauchung	 dienstlich Ma=||stir/  weyrach/ Negellein Muscatp	OOBD-1530-ST-021.txt	OOBD	1530	ST	021.txt	NA	Berauchung	NEIN	be	SG	NEIN	JA	NA	bemeldt	postnom	KEIN	zu
1907	che  Reich außgemacht/ wie anderswo dessen bereit 	Anführung	 beschehen. Die zweyte: da  einem allein das volls	OOBD-1710-ST-130.txt	OOBD	1710	ST	130.txt	NA	Anführung	NEIN	an	SG	NEIN	NEIN	NA	bereit	prenom	s	NA
1514	alung/ beklagt/ jedoch wolt er das gegen beraiter 	Bezalung	/ fallen lassen. Aber  Flaischman/ beschwehrt sich	OOBD-1590-ST-neu.txt	OOBD	1590	ST	neu.txt	NA	Bezahlung	NEIN	be	SG	NEIN	JA	NA	bereit	NA	KEIN	gegen
1731	llen/ damit aber solche bericht  besagter Vnserer 	Regierung	 ohne mitel von Jnficierten Orthen nicht angehendi	OOBD-1650-ST-094.txt	OOBD	1650	ST	094.txt	NA	Regierung	JA	NA	SG	NA	NEIN	NA	besagt	prenom	s	NA
1739	 da aber sich die vnwürdigen  ober die beschehene 	außschaffung	/ widerumb betretten lassen/ sollen sie an das Cre	OOBD-1650-ST-094.txt	OOBD	1650	ST	094.txt	NA	Ausschaffung	NEIN	aus	SG	NEIN	NEIN	NA	beschehen	NA	b	NA
656	seyn eines hohen Herrn und Befreunden beschehenen 	Eröffnung	/ befunden/ daß nemlich in der geklagten  rechten 	NOBD-1680-KT-neu.txt	NOBD	1680	KT	neu.txt	NA	Eröffnung	NEIN	er	SG	NEIN	NEIN	NA	beschehen	NA	KEIN	NA
2261	 Gebung/   Also/ das daßjhene so in der beschener 	Verheißu_g	 zugesagt/   in der Gebung wircklich dargereicht/ 	WMD-1560-KT-neu2.txt	WMD	1560	KT	neu2.txt	NA	Verheißung	NEIN	ver	SG	NEIN	NEIN	NA	beschehen	NA	b	NA
1936	hrtem Verstand/ ihme deßfalls zu gutem beschehene 	Vorsehung	/ für sich/ (*z*) daneben  endlich das Beyspiel an	OOBD-1710-ST-130.txt	OOBD	1710	ST	130.txt	NA	Vorsehung	NEIN	vor	SG	NEIN	NEIN	NA	beschehen	NA	KEIN	NA
3388	ertern der Welt/ muß drey Theil der beschlossenen 	Wohnung	 des feurigen Mannes besitzen/ auf daß der Schwane	WOBD-1710-ST-133.txt	WOBD	1710	ST	133.txt	NA	Wohnung	NEIN	NA	SG	JA	NEIN	NA	beschlossen	NA	b	NA
111	 ampts wegen angenomen  wurdet) der beschuldigten 	myßhandlung	 in laugen stunde/  So sol derselbig gefangen mit 	NOBD-1500-ST-008.txt	NOBD	1500	ST	008.txt	NA	Misshandlung	NEIN	miss	SG	NEIN	NEIN	NA	beschuldigt	NA	b	NA
5108	O! suendhaffter Gottes Dienst! So haben auch unsere liebe Vorfahren zur Gnuege bewiesen/ dass man durch die so heilig-gehaltene Paebstliche Gottes-Dienste/ Z. E. der besondern	Ordens-Kleidungen/	Rosen-Crantz/ Bilder-Verehrung/ und mancherley Kyrchen-Pomp/ Ornat/ und *Theatrali*scher Ausschmueckung/ u. s. f. sich mehr versuendige/ als etwas Gutes ausrichte. Weil wir demnach anheute/ bey Einweihung	NOBD-1710-KT-neu.txt	NOBD	1710	KT	neu.txt	Ordens	Kleidung	NEIN	NA	SG	JA	NEIN	NA	besonders	NA	b	NA
2937	in Anderstwo aber redlichere  Arbeit vnd bessere 	belohnung	 geben. Doch/ solches eigentlich zu erkennen/ nam 	WOBD-1650-KT-097.txt	WOBD	1650	KT	097.txt	NA	Belohnung	NEIN	be	SG	NEIN	NEIN	NA	besser	NA	KEIN	NA
2493	befürderung der Ehr Gottes/ vnd zu desto besserer 	erlangung	 der ewigen Seligkeit Niemand ist/ deme Gott nit s	WMD-1650-ST-104.txt	WMD	1650	ST	104.txt	NA	Erlangung	NEIN	er	SG	NEIN	JA	NA	besser	postnom	KEIN	zu
1783	erteHeroische Verse. Dann ich bin der beständigen 	Meynung	/ daß  *Virgilius in Eclogis* nicht der mittelmäss	OOBD-1680-ST-111.txt	OOBD	1680	ST	111.txt	NA	Meinung	NEIN	NA	SG	JA	NEIN	NA	bestaendig	NA	b	NA
1837	tt/  und vor GOtt sihet/ sie lebt in beständiger  	Ubung	 der Leibe GOttes/ weil sie würcket auß Liebe/ und	OOBD-1710-KT-neu.txt	OOBD	1710	KT	neu.txt	NA	Übung	NEIN	NA	SG	JA	JA	NA	bestaendig	postnom	KEIN	in
5131	der Gesaenge dey[sic!] geistlichen Zusammenkunfften bedienet habe. Gehen wir in den Zeiten der Kyrchen/ etwas weiter fort/ so finden wir/ dass die Kyrchen-Gesaenge in bestaendiger	Ubung	und *Observanz* geblieben seyen. Der im andern *Seculo* hochberuehmte Kyrchen-Vatter *Justinus Martyr* lehnet/ in seiner Schutzrede an den Kayser *Antoni-#num Pium,* die Laesterung/ als ob	NOBD-1710-KT-neu.txt	NOBD	1710	KT	neu.txt	NA	Uebung	NEIN	NA	SG	JA	NEIN	NA	bestaendig	NA	KEIN	in
3355	fftige/ mit *Actis* und *do-cumentis*  bestätigte 	erzehlung	 dessen/ was sich mit denen Pietisten in Straßburg	WOBD-1710-KT-neu.txt	WOBD	1710	KT	neu.txt	NA	Erzählung	NEIN	er	SG	NEIN	NEIN	NA	bestaetigt	postnom	KEIN	NA
2	illigen der vorgenanten veter vernünfftig billich 	begerungen	/  sagen vnd bezeügen/ durch disen gegenwürtigen b	NOBD-1500-KT-009.txt	NOBD	1500	KT	009.txt	NA	Begehrung	NEIN	be	PL	NEIN	NEIN	NA	billig	NA	KEIN	NA
1874	e Umwege nachzufolgen) solcher massen aus blosser 	Anlehrung	 eines gesunden Verstands erkennet/ und deme gemäß	OOBD-1710-ST-130.txt	OOBD	1710	ST	130.txt	NA	Anlehrung	NEIN	an	SG	NEIN	JA	NA	bloss	postnom	KEIN	aus
557	lich were/ so achte ich doch/  es werde die bloße 	Betrachtung	 derselben einem Menschen so angst vnd bang machen	NOBD-1650-KT-100.txt	NOBD	1650	KT	100.txt	NA	Betrachtung	NEIN	be	SG	NEIN	NEIN	NA	bloss	NA	b	NA
3420	Geschlecht der Würmer erzehlen/ so aus der bloßen 	Fäulung	 wachsen.  An den Kräutern siehet man gleicher ges	WOBD-1710-ST-133.txt	WOBD	1710	ST	133.txt	NA	Fäulung	NEIN	NA	SG	JA	NEIN	NA	bloss	NA	b	aus
2750	 nicht in der blossen	sprechung	 der  wort Christi/ wie biß anher ain  grosser tha	WOBD-1560-KT-043.txt	WOBD	1560	KT	043.txt	NA	Sprechung	NEIN	NA	SG	JA	NEIN	JA	bloss	postnom	b	in
1883	rbenem Bruder/ Zweiffels ohn/ noch manche blutige 	Widersprechung	  gebracht/ falls nicht von dem verblichenen  Käys	OOBD-1710-ST-130.txt	OOBD	1710	ST	130.txt	NA	Widersprechung	NEIN	wider	SG	NEIN	NEIN	NA	blutig	NA	s	NA
1062	Jn den Böhemischen 	Ordnung	ist dieses auch bey verlust Leib/ Ehr/ Guts 	OMD-1620-ST-084.txt	OMD	1620	ST	084.txt	NA	Ordnung	NEIN	NA	SG	JA	NEIN	NA	boehmisch	NA	b	in
264	die auß den irrdischen Wollüsten entstehende böse 	Neigungen	/  welche mir offt zu erkennen gegeben/  daß es ei	OOBD-1710-KT-neu.txt	OOBD	1710	KT	neu.txt	NA	Neigung	NEIN	NA	PL	JA	NEIN	NA	boese	NA	b	NA
2673	dann er dienet auff die Phariseer/ die warent böß 	pflantzung	/  welche vmb jres neids vnd lügen wille_ den teüf	WOBD-1530-KT-024.txt	WOBD	1530	KT	024.txt	NA	Pflanzung	NEIN	NA	SG	JA	NEIN	NA	boese	NA	KEIN	NA
2967	thalb Stunden/ dahero grosse vnd langwärende böse 	Würckung	 zuhaben pflegen.   <l><h1>*Descriptio Eclipsis As	WOBD-1650-ST-095.txt	WOBD	1650	ST	095.txt	NA	Wirkung	NEIN	NA	SG	JA	NEIN	NA	boese	NA	KEIN	NA
911	sten/ begibet sich dach aus böser  complexion vnd 	tzustörunge	 der adern/ die in de tzene gehen/ Etliche halden 	OMD-1530-ST-neu.txt	OMD	1530	ST	neu.txt	NA	Zustörung	NEIN	zu	SG	NEIN	JA	NA	boese	postnom	KEIN	aus
40	uzelassen fürpringt/  wann alspald die poßhafftig 	betrachtung	 oder der gedanck geoffenbart wirdt/ so anfahet  s	NOBD-1500-KT-009.txt	NOBD	1500	KT	009.txt	NA	Betrachtung	NEIN	be	SG	NEIN	NEIN	NA	boshaftig	NA	u	NA
449	d dergleichen gifftigen lästerungen/ boßhafftigen 	verleumbdungen	/ und wütendem lügenhafften  schelten/ wie das Bed	WOBD-1710-KT-neu.txt	WOBD	1710	KT	neu.txt	NA	Verleumdung	NEIN	ver	PL	NEIN	NEIN	NA	boshaftig	NA	KEIN	NA
973	/  das Gottes forcht/ glauben/ rechte Christliche 	anrüffung	/  zucht vnd gute sitten gepflantzt werden.  Darzu	OMD-1560-KT-048.txt	OMD	1560	KT	048.txt	NA	Anrufung	NEIN	an	SG	NEIN	NEIN	NA	christlich	NA	KEIN	NA
967	-[007]  <z>EWer C. F. G. löbliche vnd Christliche 	anzeigung	 die vns zugestalt ist/ haben wir in vnterthenigke	OMD-1560-KT-048.txt	OMD	1560	KT	048.txt	NA	Anzeigung	NEIN	an	SG	NEIN	NEIN	NA	christlich	prenom	s	NA
