Nr	Text_vorher	UNG.NOM	Text_danach	Dateiname	Textsorte	Periode	Sprachraum	Jahr	Jahrzehnt	Titelstichwort	Erstglied	Lemma	Adj	Det	als_praep_Kompl	Praeposition	Genitiv	Zweitglied	Numerus	Simplexbasis	Fremdwortbasis	Praefix	Basisverb	
5863	ro examiniren wollte, auf was Art die Luft an der 	Wuerckung	 der Minen Theil haben koennte, so mueßte man die 	SCIE_P2_OOD_1745_MathematicusRAW.txt	SCIE	P2	OOD	1745	1745	MathematicusRAW.txt	NA	Wirkung	NA	b	NEIN	an	postnom	NA	SG	JA	NEIN	NA	wirken	
7178	essen unreinen Trieben stehet, und dadurch an der 	Erleuchtung	 und heilsamen Erkenntnis der Wahrheit gewaltig ge	SERM_P3_OMD_1760_FolgenRAW.txt	SERM	P3	OMD	1760	1765	FolgenRAW.txt	NA	Erleuchtung	NA	b	NEIN	an	KEIN	NA	SG	NEIN	NEIN	er	erleuchten	
7473	ottaehnlichen Vollkommenheit seiner Seele, an der 	Bildung	 seines Herzens zu allem Guten zu arbeiten ist: wa	SERM_P3_WOD_1790_StrassburgRAW.txt	SERM	P3	WOD	1790	1795	StrassburgRAW.txt	NA	Bildung	NA	b	NEIN	an	postnom	NA	SG	JA	NEIN	NA	bilden	
5544	B. Etliche backen sie in einem Ofen/ an statt der 	Kochung	/ waeren aber nicht lange.       Gurcken einzumach	SCIE_P1_WMD_1676_ArtzneyBuchRAW.txt	SCIE	P1	WMD	1676	1675	ArtzneyBuchRAW.txt	NA	Kochung	NA	b	NEIN	anstatt	KEIN	NA	SG	JA	NEIN	NA	kochen	
463	-- Sie hoften, er wuerde nicht so stricte auf der 	Zahlung	 bestehen, da ohnehin ein Kavalier das Ehrenwort e	DRAM_P3_WMD_1787_VerbrechenRAW.txt	DRAM	P3	WMD	1787	1785	VerbrechenRAW.txt	NA	Zahlung	NA	b	NEIN	auf	KEIN	NA	SG	JA	NEIN	NA	zahlen	
518	sdenNASALSTRICH muÃŸ man in dem Nennworte auf die 	Geschlechtendung	/ oder auf die mehrere Zahl: In dem Zeitworte aber	HUMA_P1_NoD_1663_HaubtSpracheRAW.txt	HUMA	P1	NoD	1663	1665	HaubtSpracheRAW.txt	Geschlecht	Endung	NA	b	NEIN	auf	KEIN	NA	SG	JA	NEIN	NA	enden	
662	aben/ hat der Todt nichts als eingraben. Auff der 	Freyung	/ waren wenig befreyt vor dem Todt. Auff den Heyde	HUMA_P1_OOD_1680_MercksWiennRAW.txt	HUMA	P1	OOD	1680	1685	MercksWiennRAW.txt	NA	Freiung	NA	b	NEIN	auf	KEIN	NA	SG	JA	NEIN	NA	freien	
1288	nes weit groeßern Umfanges, in Ruecksicht auf die 	Handlung	, und haben diesen Umfang doch wirklich nicht. Aga	HUMA_P3_OMD_1774_RomanRAW.txt	HUMA	P3	OMD	1774	1775	RomanRAW.txt	NA	Handlung	NA	b	NEIN	auf	KEIN	NA	SG	JA	NEIN	NA	handeln	
1294	Art erklaert bald auf die Personen, bald auf die 	Handlung	 gezogen haben: so duenkts mich doch sehr wahrsche	HUMA_P3_OMD_1774_RomanRAW.txt	HUMA	P3	OMD	1774	1775	RomanRAW.txt	NA	Handlung	NA	b	NEIN	auf	KEIN	NA	SG	JA	NEIN	NA	handeln	
1402	 nehme hier keine Ruecksicht auf die fehlerhaften 	Gattungen	 des Stils, ohne jedoch die Kuenstler, denen sie e	HUMA_P3_OOD_1778_PonsRAW.txt	HUMA	P3	OOD	1778	1775	PonsRAW.txt	NA	Gattung	fehlerhaft	b	NEIN	auf	KEIN	NA	PL	JA	NEIN	NA	gatten	
1454	e bey einem Altar lagen, bringt Schelhorn auf die 	Muthmassung	, es seyen Opfergeraethe gewesen. S. dessen Amoeni	HUMA_P3_OOD_1792_AlterthuemerRAW.txt	HUMA	P3	OOD	1792	1795	AlterthuemerRAW.txt	NA	Mutmaßung	NA	b	NEIN	auf	KEIN	NA	SG	NEIN	NEIN	NA	mutmassen	
2366	en Junge Leute/ die auf die gewoehnliche Zeit und 	Ordnung	/ folglich dieser Handlung und offenen Gewerbs kue	LEGA_P2_OOD_1704_OrdnungNuernbergRAW.txt	LEGA	P2	OOD	1704	1705	OrdnungNuernbergRAW.txt	NA	Ordnung	gewöhnlich	b	NEIN	auf	KEIN	NA	SG	JA	NEIN	NA	ordnen	
2429	e sich auch in Marckts-Zeiten erstrecken auff die 	Arrestierung	 der Gueter und Waaren/ welcher Orthen diser Fuers	LEGA_P2_OOD_1719_PrivilegienRAW.txt	LEGA	P2	OOD	1719	1715	PrivilegienRAW.txt	NA	Arrestierung	NA	b	NEIN	auf	postnom	NA	SG	NA	JA	NA	arrestieren	
2737	ionem ad Causam, und in Actione negatoria auf die 	Beybringung	 des Dominii, interloquiret worden, ausgenommen se	LEGA_P3_OMD_1767_ProcessOrdnungRAW.txt	LEGA	P3	OMD	1767	1765	ProcessOrdnungRAW.txt	NA	Beibringung	NA	b	NEIN	auf	postnom	NA	SG	NEIN	NEIN	bei	beibringen	
2877	Lands-Fuerstliche Obligenheit erforderet, auf die 	Vermehrung	 der Ehre GOttes, Fortpflantzung der wahren Cathol	LEGA_P3_OOD_1750_HofRathsOrdnungRAW.txt	LEGA	P3	OOD	1750	1755	HofRathsOrdnungRAW.txt	NA	Vermehrung	NA	b	NEIN	auf	postnom	NA	SG	NEIN	NEIN	ver	vermehren	
2878	t erforderet, auf die Vermehrung der Ehre GOttes, 	Fortpflantzung	 der wahren Catholischen Religion, und Verhuetung 	LEGA_P3_OOD_1750_HofRathsOrdnungRAW.txt	LEGA	P3	OOD	1750	1755	HofRathsOrdnungRAW.txt	NA	Fortpflanzung	NA	b	NEIN	auf	postnom	NA	SG	NEIN	NEIN	fort	fortpflanzen	
3162	diejenigen Bemuehungen nicht, welche sich auf die 	Erhebung	 der Staatseinkuenften beziehen, denn bey diesen l	LEGA_P3_WOD_1787_CameralrechtRAW.txt	LEGA	P3	WOD	1787	1785	CameralrechtRAW.txt	NA	Erhebung	NA	b	NEIN	auf	KEIN	NA	SG	NEIN	NEIN	er	erheben	
3209	nordnungen, welche auf die allgemeine Reichs- und 	Krayspolizeyverfassung	 sich beziehen, sowol als alle andere eigentliche 	LEGA_P3_WOD_1787_CameralrechtRAW.txt	LEGA	P3	WOD	1787	1785	CameralrechtRAW.txt	Kreispolizei	Verfassung	allgemein	b	NEIN	auf	KEIN	NA	SG	NEIN	NEIN	ver	verfassen	
3245	befohlen ist, in dem ganzen Koenigreiche, auf die 	Praegung	 der Muenze Acht zu haben. Gegeben zu Paris, den 1	LEGA_P3_WOD_1791_MuenzeRAW.txt	LEGA	P3	WOD	1791	1795	MuenzeRAW.txt	NA	Prägung	NA	b	NEIN	auf	postnom	NA	SG	JA	NEIN	NA	praegen	
3624	ey zu besorgen/ und duerffet euch allein auff die 	Beobachtung	 meiner Pflicht verlassen/ welche euch meine getre	NARR_P2_OMD_1708_AffectenRAW.txt	NARR	P2	OMD	1708	1705	AffectenRAW.txt	NA	Beobachtung	NA	b	NEIN	auf	postnom	NA	SG	NEIN	NEIN	be	beobachten	
3898	 auch die anderweitigen Schulden, die er, auf die 	Rechnung	 der vom Grafen zu bekommenden rueckstaendigen Pen	NARR_P3_OMD_1776_ZerbinRAW.txt	NARR	P3	OMD	1776	1775	ZerbinRAW.txt	NA	Rechnung	NA	b	NEIN	auf	postnom	NA	SG	JA	NEIN	NA	rechnen	
3963	ingeleget, das der Pazient nur nehmen und auf die 	Knochensplitterung	 und Schmarren giessen darf- - Fusel naemlich, ode	NARR_P3_OOD_1796_QuintusRAW.txt	NARR	P3	OOD	1796	1795	QuintusRAW.txt	Knochen	Splitterung	NA	b	NEIN	auf	KEIN	NA	SG	JA	NEIN	NA	splittern	
4042	 den sie auf deine Augen hat, großmuethig auf die 	Rechnung	 des Gegenstands, den du vor dir hast ich wollte 	NARR_P3_WOD_1766_AgathonRAW.txt	NARR	P3	WOD	1766	1765	AgathonRAW.txt	NA	Rechnung	NA	b	NEIN	auf	postnom	NA	SG	JA	NEIN	NA	rechnen	
4291	 in voellige Schlacht-Ordnung/ vnd thate auff die 	Vestung	 einen Hauptsturm/ so von 9. Vhr Nachts biÃŸ Morge	NEWS_P1_OOD_1684_muenchmerc.txt	NEWS	P1	OOD	1684	1685	muenchmerc.txt	NA	Festung	NA	b	NEIN	auf	KEIN	NA	SG	JA	NEIN	NA	festen	
4307	ochgedachte Seine Mayest. treiben starck auff die 	eroerterung	 des Proces mit dem Sieur Fouquer, darinnen bereit	NEWS_P1_WMD_1662_koeln.txt	NEWS	P1	WMD	1662	1665	koeln.txt	NA	Erörterung	NA	b	NEIN	auf	KEIN	NA	SG	NEIN	NEIN	er	eroertern	
4450	r es ein grosses Laster/ wenn sich einer auff die 	Handlung	 legte/ als welche/ nach des Lycurgi Gesetze/ nur 	NEWS_P2_NoD_1702_hamburg.txt	NEWS	P2	NoD	1702	1705	hamburg.txt	NA	Handlung	NA	b	NEIN	auf	KEIN	NA	SG	JA	NEIN	NA	handeln	
4454	losse niederlassen. Sie halten dabey viel auf die 	Haushaltung	/ und treiben grossen Handel mit Vieh/ Wolle und G	NEWS_P2_NoD_1702_hamburg.txt	NEWS	P2	NoD	1702	1705	hamburg.txt	NA	Haushaltung	NA	b	NEIN	auf	KEIN	NA	SG	NEIN	NEIN	NA	haushalten	
4571	uebrigens aber dabey auf die von denen Evangelischen Visitatoren geschehene und dem gemeinsamen Protocoll einverleibte e 	Erklaerung	 alle behoerige Reflexion genommen, auch der Punct	NEWS_P2_OMD_1724_halle.txt	NEWS	P2	OMD	1724	1725	halle.txt	NA	Erklärung	einverleibt	b	NEIN	auf	KEIN	NA	SG	NEIN	NEIN	er	erklaeren	
4859	tags um 11 Uhr bestimmten Termin auf der Koenigl. 	Regierung	, vor dem Regierungs-Rath Ockel als Deputierten oh	NEWS_P3_NoD_1796_stettin.txt	NEWS	P3	NoD	1796	1795	stettin.txt	NA	Regierung	königlich	b	NEIN	auf	KEIN	NA	SG	NA	JA	NA	regieren	
4975	eit geben koennen, weil Jedermann auf die 	Schließung	 der Definitivfriedenstractaten und auf die Auswec	NEWS_P3_OMD_1784_gotha.txt	NEWS	P3	OMD	1784	1785	gotha.txt	NA	Schließung	NA	b	NEIN	auf	postnom	NA	SG	JA	NEIN	NA	schliessen	
4976	eÃŸung der Definitivfriedenstractaten und auf die 	Auswechselung	 der im Kriege erorberten Jnseln wartete ausser d	NEWS_P3_OMD_1784_gotha.txt	NEWS	P3	OMD	1784	1785	gotha.txt	NA	Auswechslung	NA	b	NEIN	auf	postnom	NA	SG	NEIN	NEIN	aus	auswechseln	
4999	 Wissenschaften lehret, sondern auf die kuenftige 	Bestimmung	 eines jeden - ob er als Theolog, oder Jurist, ode	NEWS_P3_OMD_1789_gotha.txt	NEWS	P3	OMD	1789	1785	gotha.txt	NA	Bestimmung	künftig	b	NEIN	auf	postnom	NA	SG	NEIN	NEIN	be	bestimmen	
5030	raeche, Gedichte, kleine Schauspiele etc. auf die 	Erweiterung	 der Kenntnisse, und vorzueglich auf die Bildung d	NEWS_P3_OMD_1789_gotha.txt	NEWS	P3	OMD	1789	1785	gotha.txt	NA	Erweiterung	NA	b	NEIN	auf	postnom	NA	SG	NEIN	NEIN	er	erweitern	
5059	Inseln ablaufen, besteigen. Dieses fuehrt auf die 	Vermuthung	, die Armee unter den Befehlen des Grafen von Roch	NEWS_P3_OOD_1780_wien.txt	NEWS	P3	OOD	1780	1785	wien.txt	NA	Vermutung	NA	b	NEIN	auf	KEIN	NA	SG	NEIN	NEIN	ver	vermuten	
5375	 dienen kann. Ich hoffe demnach, auf die gemeldte 	Ueberzeugung	 der Kammer, daÃŸ die Verwaltung dieses Landes ein	NEWS_P3_WOD_1784_freiburg1.txt	NEWS	P3	WOD	1784	1785	freiburg1.txt	NA	Überzeugung	gemeldt	b	NEIN	auf	KEIN	NA	SG	NEIN	NEIN	über	ueberzeugen	
5750	as genauer acht haben wollen, welches wir auf die 	Beantwortung	 der folgenden Frage versparen.         III.      	SCIE_P2_NoD_1744_CometenRAW.txt	SCIE	P2	NoD	1744	1745	CometenRAW.txt	NA	Beantwortung	NA	b	NEIN	auf	postnom	NA	SG	NEIN	NEIN	be	beantworten	
5945	rte.       §. 3. Es ist demnach, wenn man auf die 	Nahrung	 acht haben und darinnen einen ververnuenftigen Un	SCIE_P2_WMD_1744_SelbstArtztRAW.txt	SCIE	P2	WMD	1744	1745	SelbstArtztRAW.txt	NA	Nahrung	NA	b	NEIN	auf	KEIN	NA	SG	JA	NEIN	NA	naehren	
6081	 ist.       Es kommt hiebey vieles auf die eigene 	Beurtheilung	 an. So viel wird man aber wol ohne Erinnern einse	SCIE_P3_NoD_1761_MenschlichRAW.txt	SCIE	P3	NoD	1761	1765	MenschlichRAW.txt	NA	Beurteilung	eigen	b	NEIN	auf	KEIN	NA	SG	NEIN	NEIN	be	beurteilen	
6288	amenbehaelter so gleichgueltig herab, als auf die 	Ausleerung	 eines unbedeutenden Nasenschleims, welche ihm ein	SCIE_P3_OOD_1786_PolizeyRAW.txt	SCIE	P3	OOD	1786	1785	PolizeyRAW.txt	NA	Ausleerung	NA	b	NEIN	auf	postnom	NA	SG	NEIN	NEIN	aus	ausleeren	
6380	samkeit auf sein Innersten, auf die verschiedenen 	Anspannungen	 seiner Gehirnorganen acht zu haben, um das Verzei	SCIE_P3_WMD_1777_LogikRAW.txt	SCIE	P3	WMD	1777	1775	LogikRAW.txt	NA	Anspannung	verschieden	b	NEIN	auf	KEIN	NA	PL	NEIN	NEIN	an	anspannen	
6766	    Nachmahls so wird auch hiemit gesehen auf die 	Aufferstehung	 der Gerechten insonderheit. Ob wohl alle Gerechte	SERM_P2_NoD_1715_SeeligkeitRAW.txt	SERM	P2	NoD	1715	1715	SeeligkeitRAW.txt	NA	Auferstehung	NA	b	NEIN	auf	postnom	NA	SG	NEIN	NEIN	auf	auferstehen	
6847	er, die Betaeubung voriger Lebhafftigkeit auf die 	Erwegung	, wie nichtig auch die groesten aeusserlichen Vorz	SERM_P2_OMD_1715_BeerdigungRAW.txt	SERM	P2	OMD	1715	1715	BeerdigungRAW.txt	NA	Erwägung	NA	b	NEIN	auf	KEIN	NA	SG	NEIN	NEIN	er	erwaegen	
7069	hres Lebens. 2. Mos. 16, 5. 22.       II. Auf die 	Befoerderung	 Goettlicher Ehr, und auf die Erbauung des Naechst	SERM_P2_WOD_1739_KranckentrostRAW.txt	SERM	P2	WOD	1739	1735	KranckentrostRAW.txt	NA	Beförderung	NA	b	NEIN	auf	postnom	NA	SG	NEIN	NEIN	be	befoerdern	
7102	che ablegen er wartet auf die endliche herrliche 	Offenbarung	 Jesu, von welcher seine Verneurung, seine Kraft, 	SERM_P3_NoD_1765_TrauerredeRAW.txt	SERM	P3	NoD	1765	1765	TrauerredeRAW.txt	NA	Offenbarung	herrlich	b	NEIN	auf	postnom	NA	SG	NEIN	NEIN	NA	offenbaren	
7133	extes-Worte. Lasset uns dabey sehen auf       die 	Gesinnung	 des Apostels in der christlichen Lehre, und auf d	SERM_P3_NoD_1798_LetztePredigtRAW.txt	SERM	P3	NoD	1798	1795	LetztePredigtRAW.txt	NA	Gesinnung	NA	b	NEIN	auf	KEIN	NA	SG	NEIN	NEIN	ge	gesinnen	
7134	ewesene Zuhoerer.       Und zwar       I. auf die 	Gesinnung	 des Apostels Pauli in Ansehung der christlichen L	SERM_P3_NoD_1798_LetztePredigtRAW.txt	SERM	P3	NoD	1798	1795	LetztePredigtRAW.txt	NA	Gesinnung	NA	b	NEIN	auf	KEIN	NA	SG	NEIN	NEIN	ge	gesinnen	
7397	ß auf ihre Gemueths-Ruhe, folglich auf die Seelen-	Fuehrung	 eines Lehrers o! so kann er unmoeglich gleichgue	SERM_P3_WMD_1780_LottoSuchtRAW.txt	SERM	P3	WMD	1780	1785	LottoSuchtRAW.txt	NA	Führung	NA	b	NEIN	auf	KEIN	NA	SG	JA	NEIN	NA	fuehren	
7415	hr nicht eure Vorgesetzte ganz natuerlich auf die 	Vermuthung	 bringen, da solche eure Umstaende nicht in der Na	SERM_P3_WMD_1780_LottoSuchtRAW.txt	SERM	P3	WMD	1780	1785	LottoSuchtRAW.txt	NA	Vermutung	NA	b	NEIN	auf	KEIN	NA	SG	NEIN	NEIN	ver	vermuten	
556	Ÿem Gefallen zu glauben/ eh und bevor Sie aus der 	Erfahrung	 versichert/ daÃŸ solches mit Natur und sichtbahre	HUMA_P1_NoD_1674_NaturalienKammerRAW.txt	HUMA	P1	NoD	1674	1675	NaturalienKammerRAW.txt	NA	Erfahrung	NA	b	NEIN	aus	KEIN	NA	SG	NEIN	NEIN	er	erfahren	
1398	doch, wenn Sie mit Ueberlegung aufmerken, aus der 	Auffuehrung	 der Hofleute vielerley Regeln abnehmen koennen. S	HUMA_P3_OOD_1774_EmilRAW.txt	HUMA	P3	OOD	1774	1775	EmilRAW.txt	NA	Aufführung	NA	b	NEIN	aus	postnom	NA	SG	NEIN	NEIN	auf	auffuehren	
1809	Welches zu dem anderen noch mehr auß der ChurPfaeltzischen in Anno 1582. außgangnen/ vnd in Truck verfertigten	LandsOrdnung	 bestaettiget wuerdt/ zumahlen in derselben Tit. 8	LEGA_P1_OOD_1657_WildtfangRAW.txt	LEGA	P1	OOD	1657	1655	WildtfangRAW.txt	Lands	Ordnung	verfertigt	b	NEIN	aus	KEIN	NA	SG	JA	NEIN	NA	ordnen	
2273	thanen allein gefuehret/ und absonderlich aus der 	Vestung	 Mantua/ und darzu gehoerigen Orten/ sehr empfindl	LEGA_P2_OMD_1710_ReichsArchivRAW.txt	LEGA	P2	OMD	1710	1705	ReichsArchivRAW.txt	NA	Festung	NA	b	NEIN	aus	KEIN	NA	SG	JA	NEIN	NA	festen	
2464	 bewaffnet waere angetroffen worden/ dann aus der 	Zusamenrottung	 wird ein freywilliger vorbedachter Todtschlag ver	LEGA_P2_WMD_1720_VatterMordRAW.txt	LEGA	P2	WMD	1720	1725	VatterMordRAW.txt	NA	Zusammenrottung	NA	b	NEIN	aus	KEIN	NA	SG	NEIN	NEIN	NA	zusammenrotten	
3194	 wichtigen Folgen kennt, welche aus der richtigen 	Bestimmung	 derselben fuer die rechtliche Bearbeitung dieser 	LEGA_P3_WOD_1787_CameralrechtRAW.txt	LEGA	P3	WOD	1787	1785	CameralrechtRAW.txt	NA	Bestimmung	richtig	b	NEIN	aus	KEIN	NA	SG	NEIN	NEIN	be	bestimmen	
3600	 nicht angekuendet/ und man muste ihn nur aus den 	Zuruestungen	 in schier gantz Europa/ schliessen. In solcher Un	NARR_P2_NoD_1709_OstIndienRAW.txt	NARR	P2	NoD	1709	1705	OstIndienRAW.txt	NA	Zurüstung	NA	b	NEIN	aus	KEIN	NA	SG	NEIN	NEIN	zu	zuruesten	
4054	sagt, daß wir reizend sind? Wir wollen es aus den 	Wuerkungen	 sehen, die wir auf ihn machen. Je weiser er ist, 	NARR_P3_WOD_1766_AgathonRAW.txt	NARR	P3	WOD	1766	1765	AgathonRAW.txt	NA	Wirkung	NA	b	NEIN	aus	KEIN	NA	PL	JA	NEIN	NA	wirken	
4066	 weisen Fuersten beobachtet, so haette er aus den 	Rechnungen	 des Mohammeds selber wissen koennen, ob dieser Wa	NARR_P3_WOD_1771_UsongRAW.txt	NARR	P3	WOD	1771	1775	UsongRAW.txt	NA	Rechnung	NA	b	NEIN	aus	postnom	NA	PL	JA	NEIN	NA	rechnen	
4295	dem Degen in der Hand den Feind widerumb auÃŸ der 	Vestung	 geschlagen/ vnd verjaget das voellige Fuerstenbe	NEWS_P1_OOD_1684_muenchmerc.txt	NEWS	P1	OOD	1684	1685	muenchmerc.txt	NA	Festung	NA	b	NEIN	aus	KEIN	NA	SG	JA	NEIN	NA	festen	
4437	ffen auch die Raitzen und Tuercken selbst aus der 	Vestung	 starck herueber/ sie haben 100. beladene Waegen i	NEWS_P1_WOD_1689_lindau.txt	NEWS	P1	WOD	1689	1685	lindau.txt	NA	Festung	NA	b	NEIN	aus	KEIN	NA	SG	JA	NEIN	NA	festen	
4818	n dummer Mann. Wie oft lernt man auch was aus den 	Zeitungen	, das man wieder brauchen kann in der Haushaltung,	NEWS_P3_NoD_1786_wolfenbuettel1.txt	NEWS	P3	NoD	1786	1785	wolfenbuettel1.txt	NA	Zeitung	NA	b	NEIN	aus	KEIN	NA	PL	JA	NEIN	NA	NA	
4824	ch habe also darauf gedacht, so was gutes aus den 	Zeitungen	 heraus zu suchen, was so wol fuer uns waere, und 	NEWS_P3_NoD_1786_wolfenbuettel1.txt	NEWS	P3	NoD	1786	1785	wolfenbuettel1.txt	NA	Zeitung	NA	b	NEIN	aus	KEIN	NA	PL	JA	NEIN	NA	NA	
5096	oys von Mitrowsky, aus der k. k. Teufenbachischen 	Stiftung	. Die zahlreich versammelten hohen Herrschaften un	NEWS_P3_OOD_1780_wien.txt	NEWS	P3	OOD	1780	1785	wien.txt	NA	Stiftung	Teufenbachisch	b	NEIN	aus	KEIN	NA	SG	JA	NEIN	NA	stiften	
5447	d muß also dann aus dem Mangel/ Theurung/ Hunger/ 	Verschmachtung	 und allerhand Seuchen folgen: So ist je auch des 	SCIE_P1_NoD_1672_PrognosticisRAW.txt	SCIE	P1	NoD	1672	1675	PrognosticisRAW.txt	NA	Verschmachtung	NA	b	NEIN	aus	KEIN	NA	SG	NEIN	NEIN	ver	verschmachten	
5526	 gemeine Verderben fliesst aus der Intention oder 	Bedeutung	 des Cometens/ directe, der Vortheil aber/ so eine	SCIE_P1_OOD_1681_CometenGespoettsRAW.txt	SCIE	P1	OOD	1681	1685	CometenGespoettsRAW.txt	NA	Bedeutung	NA	b	NEIN	aus	postnom	NA	SG	NEIN	NEIN	be	bedeuten	
5533	einigen zu erretten/ und die Gottseeligen aus der 	Versuchung	 zu erloesen/ allen denen/ die sich zu ihm bekehre	SCIE_P1_OOD_1681_CometenGespoettsRAW.txt	SCIE	P1	OOD	1681	1685	CometenGespoettsRAW.txt	NA	Versuchung	NA	b	NEIN	aus	KEIN	NA	SG	NEIN	NEIN	ver	versuchen	
5555	us, und viel andere mehr: andere haben es aus der 	Erfahrung	 widerleget/ als nemlich Johannes Landius, welcher	SCIE_P1_WMD_1680_EpidemicaRAW.txt	SCIE	P1	WMD	1680	1685	EpidemicaRAW.txt	NA	Erfahrung	NA	b	NEIN	aus	KEIN	NA	SG	NEIN	NEIN	er	erfahren	
